Frame #,CLAV,,,RSJC,,,LSJC,,,REJC,,,LEJC,,,RWJC,,,LWJC,,,RHJC,,,LHJC,,,RKJC,,,LKJC,,,RAJC,,,LAJC,,
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,0.01417,-0.062485,1.138302,0.011791,0.135527,1.134701,0.016548,-0.260498,1.141903,-0.08477,0.30327,0.964941,-0.060026,-0.437181,1.008799,-0.166756,0.28151,0.726838,,,,0.00723,0.00601,0.586994,-0.022422,-0.236079,0.594537,-0.05124,0.017575,0.245964,-0.090245,-0.269738,0.254848,0,0,0,-0.019441,-0.287282,0.009261
2,0.014473,-0.062443,1.138664,0.012091,0.135563,1.135047,0.016856,-0.260449,1.142281,-0.085937,0.304019,0.966554,-0.076066,-0.431531,1.010076,-0.173439,0.28473,0.730123,,,,0.00723,0.00601,0.586994,-0.022422,-0.236079,0.594537,-0.05124,0.017575,0.245964,-0.090245,-0.269738,0.254848,0,0,0,-0.019441,-0.287282,0.009261
3,0.0144,-0.062495,1.13857,0.012002,0.135518,1.134979,0.016797,-0.260508,1.142162,-0.080781,0.305843,0.965522,-0.07141,-0.433183,1.009663,-0.161814,0.287305,0.726744,,,,0.00723,0.00601,0.586994,-0.022422,-0.236079,0.594537,-0.05124,0.017575,0.245964,-0.090245,-0.269738,0.254848,0,0,0,-0.019441,-0.287282,0.009261
4,0.014449,-0.062459,1.138678,0.012058,0.135571,1.135115,0.01684,-0.260489,1.142241,-0.075031,0.308779,0.965471,-0.07415,-0.432235,1.009938,-0.151061,0.294188,0.724829,,,,0.00723,0.00601,0.586994,-0.022422,-0.236079,0.594537,-0.05124,0.017575,0.245964,-0.090245,-0.269738,0.254848,0,0,0,-0.019441,-0.287282,0.009261
5,0.014403,-0.062469,1.13859,0.012017,0.135543,1.134985,0.01679,-0.260482,1.142196,-0.06583,0.312921,0.965019,-0.072217,-0.432893,1.009749,-0.131314,0.303777,0.720958,,,,0.00723,0.00601,0.586994,-0.022422,-0.236079,0.594537,-0.05124,0.017575,0.245964,-0.090245,-0.269738,0.254848,0,0,0,-0.019441,-0.287282,0.009261
6,0.014432,-0.062431,1.138635,0.012057,0.135592,1.135009,0.016806,-0.260454,1.142261,-0.055413,0.317805,0.96555,-0.073739,-0.432375,1.009939,-0.108539,0.316131,0.71841,,,,0.00723,0.00601,0.586994,-0.022422,-0.236079,0.594537,-0.05124,0.017575,0.245964,-0.090245,-0.269738,0.254848,0,0,0,-0.019441,-0.287282,0.009261
7,0.014446,-0.062395,1.138614,0.012076,0.13563,1.134997,0.016815,-0.260421,1.142231,-0.042394,0.323246,0.966489,-0.072503,-0.432768,1.009829,-0.078864,0.329075,0.716337,,,,0.00723,0.00601,0.586994,-0.022422,-0.236079,0.594537,-0.05124,0.017575,0.245964,-0.090245,-0.269738,0.254848,0,0,0,-0.019441,-0.287282,0.009261
8,0.014517,-0.06238,1.138658,0.012153,0.135645,1.13504,0.016882,-0.260406,1.142276,-0.028517,0.328597,0.968595,-0.073466,-0.432361,1.009911,-0.047741,0.341771,0.716914,,,,0.00723,0.00601,0.586994,-0.022422,-0.236079,0.594537,-0.05124,0.017575,0.245964,-0.090245,-0.269738,0.254848,0,0,0,-0.019441,-0.287282,0.009261
9,0.014582,-0.062376,1.138668,0.012223,0.135644,1.135051,0.01694,-0.260395,1.142286,-0.013388,0.333591,0.971227,-0.072463,-0.43261,1.00979,-0.013328,0.353045,0.719082,,,,0.00723,0.00601,0.586994,-0.022422,-0.236079,0.594537,-0.05124,0.017575,0.245964,-0.090245,-0.269738,0.254848,0,0,0,-0.019441,-0.287282,0.009261
10,0.014704,-0.062356,1.138727,0.01235,0.135678,1.135111,0.017059,-0.26039,1.142343,0.001168,0.337892,0.974928,-0.07313,-0.432285,1.009886,0.019831,0.36276,0.724026,,,,0.00723,0.00601,0.586994,-0.022422,-0.236079,0.594537,-0.05124,0.017575,0.245964,-0.090245,-0.269738,0.254848,0,0,0,-0.019441,-0.287282,0.009261
