Frame #,CLAV,,,RSJC,,,LSJC,,,REJC,,,LEJC,,,RWJC,,,LWJC,,,RHJC,,,LHJC,,,RKJC,,,LKJC,,,RAJC,,,LAJC,,
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,0.16697,-0.084909,1.300747,-0.004484,-0.083445,1.30357,0.338424,-0.086373,1.297925,-0.15483,-0.158158,1.084585,0.491708,-0.174822,1.106944,0.002973,-0.247651,0.862964,0.344308,-0.241004,0.867886,0.057165,0.023742,0.851543,0.287084,0.034787,0.848248,0.025742,-0.072939,0.412479,0.34194,-0.047442,0.409997,0,0,0,0.346592,-0.012926,-0.007486
2,0.158711,-0.086593,1.269954,-0.012678,-0.085896,1.272637,0.3301,-0.08729,1.26727,-0.16603,-0.132361,1.039867,0.481312,-0.147591,1.057839,-0.009618,-0.193002,0.80414,0.33475,-0.181263,0.808159,0.05121,0.102407,0.840522,0.281152,0.109688,0.840604,0.021923,-0.046551,0.414241,0.354653,-0.013438,0.412069,-0.005347,0.00736,-0.000659,0.357293,-0.003667,-0.009125
3,0.16032,-0.092587,1.267729,-0.011201,-0.090735,1.270172,0.33184,-0.09444,1.265286,-0.164294,-0.135748,1.03936,0.484528,-0.157138,1.059078,-0.011032,-0.199826,0.805327,0.339073,-0.194352,0.810706,0.054107,0.09088,0.840203,0.283761,0.096771,0.83995,0.022011,-0.053245,0.414425,0.355844,-0.023192,0.41178,-0.003915,0.005305,-0.00044,0.354841,-0.006102,-0.008636
4,0.158089,-0.097196,1.254671,-0.013473,-0.094657,1.256854,0.32965,-0.099734,1.252487,-0.167305,-0.129359,1.022753,0.48317,-0.154843,1.042506,-0.016055,-0.187538,0.786045,0.338164,-0.184619,0.792137,0.054394,0.110059,0.835489,0.281918,0.112429,0.83654,0.019982,-0.048745,0.414974,0.361206,-0.017667,0.412218,-0.004779,0.006596,-0.000513,0.356857,-0.004795,-0.008358
5,0.157868,-0.102633,1.247759,-0.013569,-0.098952,1.249693,0.329304,-0.106315,1.245824,-0.167164,-0.130054,1.015898,0.484857,-0.161218,1.037257,-0.012523,-0.193729,0.782383,0.339146,-0.193599,0.788569,0.056168,0.108354,0.83271,0.283435,0.109497,0.83431,0.018637,-0.052042,0.415126,0.364351,-0.022509,0.412107,-0.004333,0.005762,-0.000334,0.356325,-0.005457,-0.008483
6,0.155887,-0.107315,1.235578,-0.015469,-0.102921,1.237161,0.327242,-0.11171,1.233995,-0.169509,-0.126222,1.001396,0.483911,-0.161843,1.023288,-0.016616,-0.188145,0.766531,0.337174,-0.193601,0.775003,0.056649,0.121227,0.827887,0.283969,0.120921,0.83011,0.016225,-0.05076,0.415465,0.370044,-0.020394,0.412235,-0.005061,0.006541,-0.000298,0.357771,-0.004624,-0.008344
7,0.155212,-0.112116,1.226894,-0.016061,-0.106999,1.22803,0.326485,-0.117233,1.225758,-0.170045,-0.126733,0.992352,0.484348,-0.167148,1.015697,-0.016696,-0.192894,0.759305,0.336981,-0.205122,0.769342,0.058155,0.121349,0.823889,0.285616,0.120231,0.826855,0.013955,-0.054551,0.415407,0.374215,-0.024648,0.41184,-0.0048,0.005998,-0.000183,0.357736,-0.004793,-0.008479
8,0.153262,-0.116435,1.214598,-0.018087,-0.110821,1.215189,0.324612,-0.122048,1.214008,-0.172085,-0.124592,0.977946,0.483064,-0.168571,1.002093,-0.01884,-0.191762,0.744594,0.335893,-0.209904,0.756057,0.058724,0.130902,0.818105,0.285912,0.128704,0.822538,0.010943,-0.055097,0.415346,0.379481,-0.024571,0.411691,-0.005449,0.006393,-0.000148,0.358933,-0.00429,-0.007828
9,0.152321,-0.120467,1.204666,-0.019137,-0.114327,1.204814,0.32378,-0.126607,1.204517,-0.173026,-0.12557,0.967563,0.48311,-0.173328,0.992953,-0.021748,-0.195447,0.734519,0.336702,-0.221221,0.747908,0.059607,0.131431,0.813113,0.2871,0.128587,0.818152,0.008759,-0.05994,0.415052,0.383398,-0.029504,0.411083,-0.005412,0.005918,-0.000008,0.358894,-0.004489,-0.00782
10,0.150857,-0.123518,1.191806,-0.020542,-0.117143,1.191577,0.322256,-0.129893,1.192035,-0.175167,-0.124396,0.953237,0.482298,-0.175184,0.979145,-0.023019,-0.195923,0.72055,0.336991,-0.225583,0.733793,0.059633,0.139228,0.806173,0.287463,0.135122,0.811969,0.005856,-0.062783,0.414435,0.388373,-0.032593,0.410852,-0.00574,0.006163,-0.000066,0.359909,-0.004085,-0.007521
11,0.150541,-0.126432,1.180894,-0.020892,-0.119748,1.180496,0.321974,-0.133117,1.181292,-0.176063,-0.12535,0.942466,0.482606,-0.179447,0.968489,-0.025134,-0.200143,0.710509,0.338634,-0.233855,0.723408,0.060475,0.139667,0.799115,0.288092,0.135465,0.805208,0.002095,-0.068196,0.413704,0.390982,-0.04098,0.410739,-0.006022,0.00581,0.000018,0.359817,-0.004353,-0.007229
12,0.150228,-0.128514,1.168034,-0.021174,-0.121638,1.167873,0.32163,-0.13539,1.168195,-0.177366,-0.124209,0.929403,0.482304,-0.180828,0.953843,-0.028471,-0.200029,0.69729,0.339595,-0.236383,0.708183,0.06033,0.14565,0.791602,0.288085,0.141172,0.797802,-0.002944,-0.071011,0.412961,0.391677,-0.047138,0.410129,-0.006884,0.006164,0.000108,0.360027,-0.004117,-0.006929
13,0.151195,-0.130384,1.157126,-0.020239,-0.123056,1.157529,0.322628,-0.137712,1.156723,-0.177494,-0.124453,0.91989,0.483147,-0.183693,0.941725,-0.027167,-0.20551,0.690087,0.341127,-0.242506,0.696509,0.060727,0.146464,0.784707,0.28866,0.141465,0.790128,-0.007651,-0.075232,0.412311,0.391304,-0.056295,0.409362,-0.007019,0.00605,0.000155,0.359435,-0.004475,-0.006877
14,0.152319,-0.131464,1.144587,-0.019061,-0.123736,1.146026,0.323698,-0.139192,1.143149,-0.177831,-0.122676,0.908638,0.48347,-0.18414,0.926195,-0.028259,-0.20659,0.679662,0.341482,-0.243923,0.681123,0.06082,0.152281,0.77747,0.28882,0.146428,0.781825,-0.01196,-0.077312,0.411649,0.391991,-0.062711,0.408526,-0.007717,0.006419,0.000303,0.359577,-0.004255,-0.006799
15,0.154502,-0.132554,1.133874,-0.016848,-0.124201,1.13672,0.325852,-0.140906,1.131027,-0.176852,-0.121927,0.900478,0.484481,-0.186047,0.912804,-0.028279,-0.210574,0.673099,0.342096,-0.248088,0.66863,0.06137,0.152856,0.770722,0.289424,0.146686,0.773554,-0.016039,-0.081113,0.410906,0.39226,-0.070928,0.407119,-0.007934,0.006474,0.000352,0.359027,-0.0043,-0.006914
16,0.15677,-0.13357,1.122418,-0.014516,-0.124547,1.126888,0.328056,-0.142593,1.117947,-0.175877,-0.119684,0.891073,0.484724,-0.186136,0.897049,-0.028127,-0.211809,0.664067,0.34158,-0.24834,0.653319,0.061689,0.157866,0.764372,0.28978,0.150949,0.765598,-0.020064,-0.082327,0.410447,0.392651,-0.076199,0.405955,-0.008785,0.006844,0.000449,0.359016,-0.004102,-0.006785
17,0.159849,-0.135245,1.113058,-0.011392,-0.12559,1.119243,0.33109,-0.1449,1.106873,-0.173913,-0.119195,0.884579,0.485536,-0.187819,0.884201,-0.029601,-0.213572,0.657008,0.341093,-0.251585,0.641699,0.062761,0.158786,0.759311,0.290891,0.151601,0.758625,-0.023505,-0.084168,0.41061,0.393098,-0.081696,0.404982,-0.008881,0.006963,0.00056,0.358656,-0.004386,-0.006701
18,0.162637,-0.137122,1.103247,-0.008525,-0.127149,1.111168,0.3338,-0.147095,1.095326,-0.172487,-0.118527,0.877106,0.486036,-0.188423,0.870268,-0.030463,-0.212921,0.648286,0.339548,-0.251797,0.6289,0.063262,0.163152,0.754491,0.291392,0.15599,0.752148,-0.029262,-0.083698,0.410981,0.395637,-0.083221,0.404042,-0.010097,0.007463,0.000879,0.359073,-0.004137,-0.006661
19,0.165656,-0.139111,1.094499,-0.005454,-0.129203,1.104098,0.336766,-0.149018,1.084899,-0.171029,-0.11996,0.871434,0.487695,-0.190734,0.858648,-0.02998,-0.215623,0.642184,0.338501,-0.255301,0.619411,0.063449,0.163514,0.750063,0.291642,0.157065,0.746108,-0.036629,-0.083507,0.41067,0.399165,-0.085814,0.40346,-0.011231,0.00756,0.001158,0.359278,-0.004184,-0.006577
20,0.16786,-0.141204,1.083977,-0.003185,-0.13171,1.095133,0.338905,-0.150699,1.072821,-0.170532,-0.121604,0.863349,0.488959,-0.191965,0.844944,-0.03071,-0.216596,0.633475,0.337793,-0.257331,0.607196,0.062669,0.166276,0.743587,0.290743,0.160921,0.738007,-0.04459,-0.084165,0.410192,0.40266,-0.088111,0.402418,-0.012705,0.007768,0.001193,0.359886,-0.003988,-0.006545
21,0.169709,-0.143173,1.073922,-0.00126,-0.134367,1.086496,0.340678,-0.151979,1.061347,-0.169987,-0.125684,0.855771,0.490351,-0.194414,0.832799,-0.02933,-0.222265,0.626503,0.338699,-0.26312,0.596366,0.060667,0.164569,0.735734,0.288658,0.160207,0.728246,-0.051424,-0.087974,0.408785,0.405166,-0.093869,0.400901,-0.013294,0.0076,0.001179,0.359878,-0.004104,-0.006518
22,0.170611,-0.1448,1.063028,-0.000271,-0.136874,1.0768,0.341493,-0.152726,1.049256,-0.170129,-0.129972,0.846216,0.490656,-0.195521,0.819332,-0.030896,-0.226747,0.61619,0.33992,-0.267724,0.58332,0.057746,0.164479,0.726893,0.285753,0.161093,0.717925,-0.058211,-0.09265,0.406409,0.408522,-0.098812,0.398913,-0.013852,0.007557,0.000987,0.360225,-0.003773,-0.006448
23,0.171301,-0.146549,1.054228,0.000356,-0.13947,1.06881,0.342247,-0.153628,1.039646,-0.170198,-0.136328,0.838393,0.490806,-0.197752,0.80925,-0.032833,-0.23465,0.608157,0.341539,-0.27552,0.574078,0.055201,0.160638,0.717965,0.283185,0.158581,0.70791,-0.064683,-0.098714,0.403721,0.411693,-0.104892,0.396763,-0.014449,0.007553,0.000864,0.360166,-0.003802,-0.006464
24,0.170993,-0.147973,1.045803,0.000126,-0.141695,1.060864,0.341861,-0.154251,1.030742,-0.171168,-0.142528,0.830025,0.490369,-0.199293,0.799745,-0.034485,-0.242685,0.600073,0.341651,-0.281407,0.565736,0.052535,0.15941,0.709936,0.280555,0.15825,0.699287,-0.070279,-0.103785,0.401634,0.415158,-0.108977,0.394888,-0.01501,0.007494,0.000827,0.360561,-0.003649,-0.006332
25,0.170467,-0.14932,1.039433,-0.00041,-0.143737,1.054559,0.341345,-0.154903,1.024307,-0.172031,-0.150065,0.823585,0.49008,-0.202288,0.793634,-0.034873,-0.254231,0.595705,0.341447,-0.289249,0.561335,0.05048,0.155277,0.702359,0.278554,0.155113,0.691512,-0.07431,-0.109797,0.399395,0.417892,-0.114047,0.3932,-0.014911,0.006853,0.000859,0.360559,-0.003895,-0.006134
26,0.169294,-0.150319,1.033308,-0.001597,-0.14523,1.04818,0.340184,-0.155407,1.018435,-0.173274,-0.156806,0.816366,0.489058,-0.204629,0.7877,-0.035907,-0.264446,0.590298,0.340611,-0.294991,0.556642,0.048885,0.153944,0.695095,0.276949,0.154375,0.684643,-0.077644,-0.114568,0.397405,0.420493,-0.117532,0.391598,-0.015069,0.006701,0.000922,0.361018,-0.003501,-0.00633
27,0.168176,-0.151201,1.028645,-0.002839,-0.146428,1.043069,0.339192,-0.155974,1.014222,-0.174211,-0.16397,0.810696,0.488415,-0.208049,0.78421,-0.036161,-0.276315,0.58723,0.340256,-0.302319,0.554473,0.047734,0.150351,0.688944,0.275908,0.151487,0.678985,-0.080406,-0.119355,0.395621,0.422725,-0.121599,0.390242,-0.015101,0.006425,0.001012,0.36121,-0.00353,-0.006219
28,0.166754,-0.151838,1.023492,-0.004241,-0.147202,1.037361,0.337749,-0.156475,1.009624,-0.175235,-0.169788,0.803924,0.487431,-0.210721,0.779907,-0.037388,-0.285753,0.582417,0.339874,-0.307381,0.550854,0.046755,0.14959,0.683406,0.275049,0.150749,0.674147,-0.083094,-0.122659,0.39375,0.425335,-0.124127,0.389045,-0.015542,0.00684,0.000956,0.361473,-0.003638,-0.005848
29,0.165559,-0.152498,1.019049,-0.005525,-0.147915,1.032345,0.336643,-0.157082,1.005754,-0.175732,-0.175501,0.798266,0.48696,-0.214285,0.77689,-0.037328,-0.295728,0.579176,0.340051,-0.313893,0.548655,0.046527,0.147069,0.677544,0.275066,0.14804,0.668978,-0.085064,-0.127012,0.392409,0.427566,-0.127699,0.387595,-0.015664,0.006944,0.000934,0.361496,-0.003778,-0.00579
30,0.164187,-0.15288,1.013554,-0.006936,-0.148271,1.026233,0.33531,-0.157488,1.000875,-0.176585,-0.179518,0.791309,0.486248,-0.2169,0.772376,-0.03766,-0.302581,0.573993,0.340126,-0.318221,0.544428,0.046459,0.147121,0.671364,0.275041,0.14809,0.663649,-0.087477,-0.129683,0.391513,0.430133,-0.129562,0.386135,-0.015757,0.006897,0.000901,0.361778,-0.003808,-0.005662
