Frame #,CLAV,,,RSJC,,,LSJC,,,REJC,,,LEJC,,,RWJC,,,LWJC,,,RHJC,,,LHJC,,,RKJC,,,LKJC,,,RAJC,,,LAJC,,
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,0.226468,-0.133615,1.424654,0.231066,0.032617,1.408702,0.221869,-0.299847,1.440606,0.067776,0.192166,1.218371,0.057547,-0.466675,1.219141,-0.055664,0.038867,0.948931,-0.096855,-0.272373,0.959952,0.232259,-0.023032,0.939343,0.280324,-0.254697,0.927927,0.106876,-0.005629,0.494153,0.282288,-0.269007,0.454707,0,0,0,0.358379,-0.343476,-0.038353
2,0.220829,-0.135647,1.412601,0.234861,0.038221,1.407079,0.206797,-0.309514,1.418123,0.072963,0.199525,1.217066,0.036996,-0.473563,1.219184,-0.053349,0.048687,0.947073,-0.097718,-0.263791,0.960353,0.229094,-0.021132,0.937855,0.281324,-0.250358,0.926979,0.098706,-0.006098,0.493108,0.289169,-0.265766,0.453053,-0.006171,0.002466,-0.000323,0.372222,-0.343826,-0.038389
3,0.22877,-0.122261,1.421387,0.236607,0.043929,1.405115,0.220932,-0.288452,1.437659,0.075433,0.206183,1.215329,0.05158,-0.453373,1.21928,-0.052702,0.057743,0.944602,-0.099463,-0.255745,0.960775,0.227401,-0.016822,0.936748,0.282339,-0.245794,0.92615,0.101077,-0.00246,0.49133,0.294923,-0.262618,0.451443,-0.0081,0.003889,-0.002256,0.3841,-0.343774,-0.038115
4,0.223131,-0.122873,1.410181,0.238734,0.050182,1.403025,0.207529,-0.295927,1.417337,0.075027,0.210214,1.213555,0.033855,-0.45927,1.219088,-0.051902,0.06525,0.940646,-0.100299,-0.248155,0.961314,0.225092,-0.013769,0.934727,0.28276,-0.241406,0.924626,0.09594,-0.002371,0.489301,0.300928,-0.258925,0.449887,-0.00402,0.004969,-0.005341,0.397672,-0.343421,-0.037612
5,0.229992,-0.109484,1.417903,0.238832,0.056495,1.400854,0.221151,-0.275462,1.434951,0.071263,0.211653,1.211238,0.048712,-0.440758,1.219196,-0.053896,0.068671,0.936294,-0.101332,-0.241164,0.961645,0.224845,-0.009285,0.932705,0.283281,-0.236534,0.923581,0.100774,0.001252,0.486705,0.303832,-0.255484,0.44865,0.002502,0.004672,-0.009233,0.409028,-0.343555,-0.036449
6,0.22341,-0.109365,1.407992,0.238695,0.06334,1.398933,0.208124,-0.28207,1.417051,0.068669,0.215156,1.209202,0.03416,-0.446209,1.219323,-0.057268,0.067315,0.936982,-0.101272,-0.234722,0.962513,0.22304,-0.005127,0.93131,0.283771,-0.231581,0.923167,0.099916,0.001705,0.483722,0.306262,-0.251741,0.447985,0.012686,0.004385,-0.013528,0.421797,-0.343435,-0.034595
7,0.228293,-0.096392,1.415459,0.236573,0.070244,1.397168,0.220012,-0.263028,1.433751,0.064836,0.219771,1.207008,0.049412,-0.429891,1.220029,-0.061335,0.062754,0.9405,-0.101039,-0.229569,0.963401,0.222386,-0.000321,0.929791,0.283384,-0.227004,0.922682,0.107429,0.005347,0.480629,0.306834,-0.248432,0.447735,0.022814,0.003686,-0.01788,0.432452,-0.343637,-0.031904
8,0.221752,-0.095083,1.407382,0.23507,0.077557,1.396233,0.208434,-0.267723,1.41853,0.062358,0.224307,1.205458,0.037263,-0.435283,1.221203,-0.06377,0.059755,0.943334,-0.100123,-0.225709,0.963997,0.222144,0.004173,0.928498,0.283571,-0.221664,0.923218,0.10652,0.007478,0.478992,0.308276,-0.244631,0.448249,0.032722,0.004489,-0.021165,0.444415,-0.34353,-0.028413
9,0.226261,-0.082106,1.415273,0.232495,0.084729,1.395834,0.220027,-0.248941,1.434713,0.058757,0.228961,1.204445,0.05212,-0.419832,1.222882,-0.066107,0.059017,0.945205,-0.099885,-0.223231,0.964105,0.220797,0.010317,0.928738,0.282982,-0.216237,0.924067,0.109864,0.012208,0.478415,0.307462,-0.240663,0.449249,0.04308,0.005444,-0.023494,0.454537,-0.343174,-0.024001
